label,error_type,track_id,artist,title,score,threshold,source_tags,audio_file,auditor_hears_label,auditor_reason
electronic,false_positive,track_1371700,Dj-J@M,The escape,0.934146,0.4,ambient;atmospheric;dance,data/training_audio/track_1371700.wav,,
electronic,false_positive,track_0387401,Matti Paalanen,Haunting,0.842895,0.4,ambient;chillout;easylistening,data/training_audio/track_0387401.wav,,
electronic,false_positive,track_1391102,DeadBunny Laura,Running Away,0.733781,0.4,dance;pop;rock,data/training_audio/track_1391102.wav,,
electronic,false_negative,track_1305603,One Dice,Maskenball,0.087948,0.4,darkwave;electronic,data/training_audio/track_1305603.wav,,
electronic,false_negative,track_0294403,Hozonie,shamann,0.117845,0.4,electronic;techno;trance,data/training_audio/track_0294403.wav,,
electronic,false_negative,track_1388000,Sean T Wright,Pretty Little,0.172545,0.4,electronic;industrial;rock,data/training_audio/track_1388000.wav,,
pop,false_positive,track_1231902,Guy Berrier,OUT OF MY HOME 2,0.577021,0.25,80s;ambient;classical,data/training_audio/track_1231902.wav,,
pop,false_positive,track_0974000,Anitek,Seasons,0.49117,0.25,acidjazz;blues;experimental;jazz;rock;triphop,data/training_audio/track_0974000.wav,,
pop,false_positive,track_1359901,Kaceo,Disque d'or,0.454312,0.25,chanson,data/training_audio/track_1359901.wav,,
pop,false_negative,track_0037700,Mi Rara Coleccion,El silencio me hipnotiza ,0.007399,0.25,electronic;pop,data/training_audio/track_0037700.wav,,
pop,false_negative,track_0604700,Sean T Wright,B With U,0.038744,0.25,pop;poprock,data/training_audio/track_0604700.wav,,
pop,false_negative,track_1115703,Podington Bear,Slide,0.049292,0.25,indie;instrumentalpop;pop,data/training_audio/track_1115703.wav,,
ambient,false_positive,track_1036200,Eon,After the End,0.874548,0.3,alternative;electronic,data/training_audio/track_1036200.wav,,
ambient,false_positive,track_0255702,The Chill,The Chill - Night on the roof,0.829481,0.3,electronic,data/training_audio/track_0255702.wav,,
ambient,false_positive,track_1045800,MilanWulf,MilanWulf-Lunacy,0.815919,0.3,drumnbass;dub;dubstep;electronic;house,data/training_audio/track_1045800.wav,,
ambient,false_negative,track_0826301,Antoniocamel,Travesuras,0.020147,0.3,ambient,data/training_audio/track_0826301.wav,,
ambient,false_negative,track_0506002,Franck Mouzon,Les oiseaux,0.070418,0.3,ambient;electronic;instrumentalpop;progressive;symphonic,data/training_audio/track_0506002.wav,,
ambient,false_negative,track_1231902,Guy Berrier,OUT OF MY HOME 2,0.087394,0.3,80s;ambient;classical,data/training_audio/track_1231902.wav,,
rock,false_positive,track_0160301,Cui Bono,Betrayed,0.907147,0.3,hardrock,data/training_audio/track_0160301.wav,,
rock,false_positive,track_1115703,Podington Bear,Slide,0.694902,0.3,indie;instrumentalpop;pop,data/training_audio/track_1115703.wav,,
rock,false_positive,track_0100603,The Wavers,Three Minutes to Escape,0.493751,0.3,country;rocknroll;soundtrack,data/training_audio/track_0100603.wav,,
rock,false_negative,track_0004402,DIY-note,Raining outside,0.053874,0.3,alternative;electronic;experimental;postrock;rock,data/training_audio/track_0004402.wav,,
rock,false_negative,track_0004400,DIY-note,Conte écourté,0.071667,0.3,alternative;electronic;experimental;postrock;rock,data/training_audio/track_0004400.wav,,
rock,false_negative,track_0040302,Melophon,Mr. Ponty,0.085297,0.3,fusion;jazz;rock,data/training_audio/track_0040302.wav,,
